Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
0,1,10/31/97,19-069,LAL,,UTA,W (+17),0,33:00:00,5,13,0.385,0,2,0,13,14,0.929,0,3,3,5,1,0,1,1,23,19.5
0,2,11/4/97,19-073,LAL,@,SAC,W (+3),0,21:00,2,10,0.2,0,2,0,0,0,,2,1,3,3,2,1,3,1,4,0.9
0,3,11/7/97,19-076,LAL,,NYK,W (+5),0,20:00,1,9,0.111,0,2,0,2,3,0.667,0,1,1,1,1,0,0,2,4,-1.1
0,4,11/9/97,19-078,LAL,,GSW,W (+35),0,24:00:00,11,18,0.611,2,3,0.667,1,2,0.5,2,1,3,5,3,1,0,1,25,24.9
0,5,11/16/97,19-085,LAL,,VAN,W (+26),0,16:00,2,6,0.333,1,4,0.25,6,6,1,0,1,1,1,0,0,2,2,11,5.8
0,6,11/18/97,19-087,LAL,@,UTA,W (+5),0,29:00:00,4,10,0.4,0,2,0,11,12,0.917,1,4,5,2,0,2,2,2,19,15.1
0,7,11/19/97,19-088,LAL,,MIN,W (+25),0,34:00:00,9,18,0.5,1,5,0.2,1,1,1,0,3,3,3,2,0,2,2,20,13.2
0,8,11/23/97,19-092,LAL,,LAC,W (+17),0,29:00:00,8,21,0.381,0,2,0,8,9,0.889,3,2,5,4,4,0,1,3,24,19.4
0,9,11/25/97,19-094,LAL,@,MIA,L (-17),0,27:00:00,7,21,0.333,1,5,0.2,1,5,0.2,2,0,2,3,3,0,2,2,16,6.2
0,10,11/26/97,19-095,LAL,@,BOS,W (+15),0,28:00:00,5,11,0.455,1,1,1,3,8,0.375,2,3,5,2,1,0,7,1,14,3.6
0,11,11/28/97,19-097,LAL,@,PHI,L (-10),0,23:00,7,11,0.636,3,5,0.6,2,5,0.4,1,1,2,1,0,1,4,4,19,9.7
0,12,11/30/97,19-099,LAL,,TOR,W (+6),0,19:00,2,8,0.25,0,1,0,2,2,1,0,5,5,3,1,0,2,3,6,2.6
0,13,12/3/97,19-102,LAL,@,DEN,W (+18),0,24:00:00,3,10,0.3,1,3,0.333,3,4,0.75,1,3,4,5,0,2,2,1,10,7.9
0,14,12/5/97,19-104,LAL,,SAS,W (+10),0,27:00:00,4,10,0.4,1,3,0.333,8,8,1,1,3,4,5,3,0,0,1,17,19.3
0,15,12/7/97,19-106,LAL,,CLE,L (-10),0,29:00:00,5,15,0.333,2,4,0.5,9,10,0.9,1,3,4,2,0,0,1,5,21,12.1
0,16,12/8/97,19-107,LAL,@,POR,L (-6),0,25:00:00,6,14,0.429,1,3,0.333,6,8,0.75,0,2,2,1,1,0,3,3,19,8.9
0,17,12/10/97,19-109,LAL,@,GSW,L (-1),0,30:00:00,7,15,0.467,2,3,0.667,4,8,0.5,3,3,6,4,1,0,2,0,20,15.5
0,18,12/12/97,19-111,LAL,,HOU,W (+17),0,26:00:00,8,15,0.533,2,4,0.5,9,10,0.9,1,4,5,1,2,0,1,1,27,22.5
0,19,12/14/97,19-113,LAL,,DAL,W (+30),0,32:00:00,12,21,0.571,3,7,0.429,3,4,0.75,1,2,3,3,0,0,2,3,30,19.9
0,20,12/16/97,19-115,LAL,@,MIN,W (+13),0,23:00,7,15,0.467,0,2,0,5,5,1,2,4,6,0,0,0,1,3,19,11.7
0,21,12/17/97,19-116,LAL,@,CHI,L (-21),0,29:00:00,12,20,0.6,3,5,0.6,6,9,0.667,2,1,3,2,0,0,0,4,33,24.1
0,22,12/19/97,19-118,LAL,@,ATL,W (+2),0,31:00:00,7,16,0.438,1,4,0.25,4,6,0.667,1,1,2,1,3,0,2,2,19,11.7
0,23,12/20/97,19-119,LAL,@,CHH,W (+9),0,26:00:00,5,14,0.357,1,3,0.333,2,2,1,1,0,1,1,0,0,1,3,13,4.4
0,24,12/22/97,19-121,LAL,@,HOU,W (+11),0,27:00:00,6,13,0.462,2,4,0.5,5,6,0.833,2,3,5,0,2,1,2,3,19,13.7
0,25,12/26/97,19-125,LAL,,LAC,W (+4),0,27:00:00,7,15,0.467,2,5,0.4,0,1,0,0,1,1,2,0,1,1,4,16,7.7
0,26,12/28/97,19-127,LAL,,BOS,L (-6),0,26:00:00,5,11,0.455,0,2,0,7,10,0.7,0,0,0,1,2,1,2,4,17,9.9
0,27,12/30/97,19-129,LAL,,SAC,W (+13),0,28:00:00,4,10,0.4,0,1,0,4,6,0.667,0,4,4,1,0,1,2,2,12,5.6
0,28,1/2/98,19-132,LAL,,ATL,W (+10),0,24:00:00,5,8,0.625,2,3,0.667,0,0,,1,2,3,4,2,0,3,1,12,11.1
0,29,1/4/98,19-134,LAL,,PHI,L (-6),0,31:00:00,6,18,0.333,1,3,0.333,7,11,0.636,2,4,6,4,2,0,0,5,20,13.6
0,30,1/6/98,19-136,LAL,@,VAN,W (+13),0,25:00:00,6,10,0.6,1,1,1,3,3,1,1,1,2,2,2,0,1,1,16,14.4
0,31,1/7/98,19-137,LAL,,MIL,W (+12),0,20:00,4,7,0.571,0,1,0,9,10,0.9,1,1,2,2,2,1,3,2,17,14.6
0,32,1/9/98,19-139,LAL,@,LAC,W (+10),0,27:00:00,4,11,0.364,0,2,0,7,7,1,0,0,0,2,2,1,1,3,15,10.8
0,33,1/11/98,19-141,LAL,,CHH,L (-5),0,14:00,3,9,0.333,0,2,0,0,0,,0,2,2,1,0,0,1,1,6,0.8
0,34,1/14/98,19-144,LAL,,DEN,W (+18),0,23:00,3,8,0.375,1,3,0.333,7,8,0.875,1,2,3,5,0,0,2,1,14,11.6
0,35,1/17/98,19-147,LAL,,MIA,W (+9),0,27:00:00,6,9,0.667,1,2,0.5,8,9,0.889,3,2,5,2,0,0,4,4,21,15.2
0,36,1/19/98,19-149,LAL,,ORL,W (+3),0,31:00:00,4,7,0.571,1,2,0.5,7,7,1,1,1,2,1,1,1,1,0,16,15.1
0,37,1/21/98,19-151,LAL,@,PHO,W (+10),0,34:00:00,7,12,0.583,3,4,0.75,8,10,0.8,1,4,5,3,0,1,2,3,25,20.1
0,38,1/24/98,19-154,LAL,@,SEA,L (-6),0,33:00:00,6,14,0.429,1,4,0.25,5,8,0.625,1,3,4,0,0,1,3,5,18,6.7
0,39,1/28/98,19-158,LAL,,NJN,L (-11),0,35:00:00,10,19,0.526,0,3,0,6,8,0.75,3,2,5,0,0,0,2,3,26,15.4
0,40,1/30/98,19-160,LAL,,MIN,W (+7),0,30:00:00,7,16,0.438,2,3,0.667,6,9,0.667,2,1,3,7,0,0,4,4,22,13.4
0,41,2/1/98,19-162,LAL,,CHI,W (+25),0,26:00:00,7,16,0.438,2,6,0.333,4,7,0.571,0,4,4,1,2,0,1,4,20,11.7
0,42,2/4/98,19-165,LAL,,POR,W (+7),0,28:00:00,6,10,0.6,1,2,0.5,13,13,1,1,3,4,4,3,1,1,4,26,26.9
0,43,2/10/98,19-171,LAL,@,POR,L (-12),1,30:00:00,6,13,0.462,2,3,0.667,3,5,0.6,2,2,4,2,1,1,1,4,17,12
0,44,2/11/98,19-172,LAL,,GSW,W (+6),0,22:00,5,11,0.455,0,0,,1,2,0.5,2,3,5,0,0,0,4,1,11,2.8
0,45,2/13/98,19-174,LAL,,SEA,L (-5),0,41:00:00,4,13,0.308,0,4,0,7,7,1,1,2,3,6,0,1,1,1,15,12.3
0,46,2/15/98,19-176,LAL,,HOU,L (-2),0,33:00:00,8,15,0.533,2,5,0.4,0,0,,2,0,2,0,1,0,2,2,18,10.3
0,47,2/18/98,19-179,LAL,@,PHO,L (-7),0,24:00:00,3,8,0.375,0,1,0,2,2,1,1,3,4,4,2,0,4,3,8,4.8
0,48,2/19/98,19-180,LAL,,DEN,W (+39),0,35:00:00,7,10,0.7,0,0,,7,8,0.875,1,3,4,7,0,0,0,1,21,22.5
0,49,2/22/98,19-183,LAL,@,ORL,L (-2),0,37:00:00,6,15,0.4,2,3,0.667,4,5,0.8,0,3,3,4,2,0,2,1,18,12.8
0,50,2/24/98,19-185,LAL,@,MIL,W (+17),0,25:00:00,3,12,0.25,1,1,1,5,5,1,1,4,5,2,0,0,1,2,12,6.3
0,51,2/25/98,19-186,LAL,@,IND,W (+7),0,22:00,1,8,0.125,0,0,,6,6,1,2,1,3,2,1,0,6,3,8,-0.3
0,52,2/27/98,19-188,LAL,@,MIN,W (+13),0,26:00:00,4,12,0.333,1,4,0.25,5,6,0.833,0,3,3,4,1,1,2,2,14,9.4
0,53,3/1/98,19-190,LAL,@,NYK,L (-12),0,26:00:00,4,15,0.267,1,5,0.2,5,5,1,1,4,5,0,0,0,1,5,14,4
0,54,3/2/98,19-191,LAL,@,WAS,L (-10),0,12:00,2,7,0.286,0,1,0,0,0,,0,1,1,1,0,0,1,0,4,-0.1
0,55,3/4/98,19-193,LAL,,IND,W (+9),0,21:00,3,8,0.375,0,0,,9,14,0.643,1,2,3,1,0,0,4,3,15,5.4
0,56,3/6/98,19-195,LAL,,SAS,W (+7),0,21:00,1,6,0.167,0,2,0,5,6,0.833,0,1,1,2,1,2,1,0,7,5.9
0,57,3/8/98,19-197,LAL,,DET,W (+7),0,19:00,2,7,0.286,0,2,0,0,0,,1,2,3,0,1,0,1,0,4,1.2
0,58,3/11/98,19-200,LAL,,POR,W (+14),0,20:00,4,10,0.4,1,2,0.5,4,5,0.8,1,1,2,2,0,0,1,2,13,7.8
0,59,3/12/98,19-201,LAL,@,LAC,W (+23),0,12:00,2,9,0.222,1,2,0.5,1,2,0.5,0,3,3,1,0,0,4,1,6,-2.7
0,60,3/15/98,19-204,LAL,@,VAN,W (+9),0,25:00:00,4,7,0.571,1,1,1,4,7,0.571,1,2,3,5,0,2,1,0,13,13.7
0,61,3/16/98,19-205,LAL,@,SEA,L (-12),0,14:00,0,1,0,0,1,0,0,0,,0,0,0,2,0,0,1,2,0,-1.1
0,62,3/18/98,19-207,LAL,,PHO,W (+6),0,28:00:00,1,10,0.1,0,3,0,8,9,0.889,1,2,3,6,0,3,1,1,10,9.2
0,63,3/20/98,19-209,LAL,,SEA,W (+13),0,18:00,3,7,0.429,2,3,0.667,8,8,1,1,0,1,2,2,0,2,1,16,14
0,64,3/22/98,19-211,LAL,@,SAC,W (+3),0,25:00:00,2,9,0.222,0,2,0,8,12,0.667,3,3,6,3,0,0,2,5,12,6
0,65,3/23/98,19-212,LAL,@,DEN,W (+21),0,32:00:00,8,12,0.667,2,4,0.5,5,5,1,0,3,3,3,2,0,2,1,23,20.4
0,66,3/25/98,19-214,LAL,,SAC,W (+23),0,21:00,3,7,0.429,1,3,0.333,4,5,0.8,1,0,1,3,0,0,5,2,11,3.9
0,67,3/28/98,19-217,LAL,@,UTA,L (-15),0,27:00:00,0,4,0,0,2,0,2,2,1,0,0,0,3,4,1,2,1,2,3.6
0,68,3/29/98,19-218,LAL,,WAS,W (+27),0,23:00,5,12,0.417,0,1,0,5,5,1,1,4,5,2,0,1,1,1,15,11.2
0,69,3/31/98,19-220,LAL,@,TOR,W (+9),0,25:00:00,7,13,0.538,2,4,0.5,1,1,1,1,1,2,5,1,1,3,2,17,13.1
0,70,4/2/98,19-222,LAL,@,NJN,W (+11),0,25:00:00,7,11,0.636,1,2,0.5,5,9,0.556,1,3,4,2,1,0,2,4,20,13.9
0,71,4/3/98,19-223,LAL,@,CLE,W (+12),0,23:00,3,8,0.375,1,2,0.5,0,0,,0,1,1,5,1,0,3,4,7,2.8
0,72,4/5/98,19-225,LAL,@,DET,W (+2),0,27:00:00,2,11,0.182,0,4,0,2,2,1,2,1,3,1,2,2,1,4,6,2.3
0,73,4/8/98,19-228,LAL,,VAN,W (+11),0,26:00:00,4,10,0.4,1,5,0.2,5,6,0.833,0,1,1,4,0,2,5,3,14,6.5
0,74,4/10/98,19-230,LAL,,PHO,L (-9),0,29:00:00,2,11,0.182,2,6,0.333,6,8,0.75,1,1,2,3,1,1,1,1,12,7.7
0,75,4/11/98,19-231,LAL,@,GSW,W (+12),0,24:00:00,4,9,0.444,2,3,0.667,0,0,,0,1,1,1,0,1,2,1,10,4.6
0,76,4/13/98,19-233,LAL,@,SAS,W (+24),0,26:00:00,5,10,0.5,0,2,0,5,6,0.833,0,1,1,3,0,2,3,2,15,9.6
0,77,4/14/98,19-234,LAL,@,DAL,W (+16),0,28:00:00,6,11,0.545,1,1,1,6,7,0.857,1,3,4,1,0,0,2,6,19,11.2
0,78,4/17/98,19-237,LAL,,DAL,W (+29),0,26:00:00,5,8,0.625,1,3,0.333,6,7,0.857,1,6,7,4,0,0,3,3,17,14.1
0,79,4/19/98,19-239,LAL,,UTA,W (+4),0,37:00:00,10,19,0.526,1,5,0.2,4,6,0.667,1,1,2,3,2,2,2,1,25,19
1,80,4/24/98,19-244,LAL,,POR,W (+2),0,27:00:00,4,9,0.444,1,1,1,6,9,0.667,0,1,1,4,1,2,0,5,15,12.6
1,81,4/26/98,19-246,LAL,,POR,W (+9),0,24:00:00,2,7,0.286,0,0,,0,0,,0,3,3,4,0,1,1,2,4,2.5
1,82,4/28/98,19-248,LAL,@,POR,L (-5),0,16:00,1,6,0.167,0,2,0,2,2,1,3,2,5,0,0,0,1,3,4,0.7
1,83,4/30/98,19-250,LAL,@,POR,W (+11),0,36:00:00,9,16,0.563,1,1,1,3,4,0.75,0,3,3,4,0,1,1,4,22,15.8
1,84,5/4/98,19-254,LAL,@,SEA,L (-14),0,16:00,1,5,0.2,0,2,0,2,4,0.5,1,0,1,0,1,1,0,2,4,1.7
1,85,5/10/98,19-260,LAL,,SEA,W (+12),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
1,86,5/12/98,19-262,LAL,@,SEA,W (+15),0,11:00,3,3,1,1,1,1,0,0,,0,1,1,0,0,1,1,2,7,5.3
1,87,5/16/98,19-266,LAL,@,UTA,L (-35),0,31:00:00,4,14,0.286,0,5,0,8,12,0.667,2,2,4,2,0,1,0,0,16,10.3
1,88,5/18/98,19-268,LAL,@,UTA,L (-4),0,22:00,3,10,0.3,0,1,0,3,4,0.75,1,1,2,1,0,0,2,3,9,1.3
1,89,5/22/98,19-272,LAL,,UTA,L (-11),0,15:00,2,4,0.5,0,1,0,5,7,0.714,0,0,0,1,0,0,2,4,9,3.3
1,90,5/24/98,19-274,LAL,,UTA,L (-4),0,19:00,2,2,1,0,0,,2,3,0.667,0,1,1,0,1,1,3,3,6,2.8